Gene	ID	Source	Description 
	AT5G06330	LEA in turquoise module from all genotype WGCNA	
	AT4G36600	LEA in turquoise module from all genotype WGCNA	
ATECP31	AT3G22500	LEA in turquoise module from all genotype WGCNA	
M17	AT2G41260	LEA in turquoise module from all genotype WGCNA	
XERO1	AT3G50980	LEA in turquoise module from all genotype WGCNA	
	AT2G18340	LEA in turquoise module from all genotype WGCNA	
RAB18	AT5G66400	LEA in turquoise module from all genotype WGCNA	
LEA18	AT2G35300	LEA in turquoise module from all genotype WGCNA	
LTI30	AT3G50970	LEA in turquoise module from all genotype WGCNA	
	AT2G23110	LEA in turquoise module from all genotype WGCNA	
	AT3G22490	LEA in turquoise module from all genotype WGCNA	
M10	AT2G41280	LEA in turquoise module from all genotype WGCNA	
GEA6	AT2G40170	LEA in turquoise module from all genotype WGCNA	
LEA14	AT1G01470	LEA in turquoise module from all genotype WGCNA	
	AT3G53040	LEA in turquoise module from all genotype WGCNA	
